date,Alexis Arguello,Antonio Cervantes,Davey Moore,Julio Cesar Chavez,Larry Holmes,Marvin Hagler,Michael Spinks,Muhammad Ali,Roberto Duran,Sugar Ray Leonard,Thomas Hearns
1975-02-08,1872.62306692,2039.23439728,2070.99799421,,1446.05363496,1643.77755092,,2260.34905037,2047.66559519,,
1975-02-15,1872.62306692,2039.23439728,2070.99799421,,1446.05363496,1662.26457318,,2260.34905037,2048.09532187,,
1975-03-02,1872.62306692,2039.23439728,2070.99799421,,1446.05363496,1662.26457318,,2260.34905037,2054.88466947,,
1975-03-15,1893.65070378,2043.9945211,2070.99799421,,1446.05363496,1662.26457318,,2260.34905037,2054.88466947,,
1975-03-24,1893.65070378,2043.9945211,2070.99799421,,1493.56860488,1662.26457318,,2263.31753685,2054.88466947,,
1975-03-31,1893.65070378,2043.9945211,2070.99799421,,1493.56860488,1664.89554534,,2263.31753685,2054.88466947,,
1975-04-09,1893.65070378,2043.9945211,2070.99799421,,1529.62893901,1664.89554534,,2263.31753685,2054.88466947,,
1975-04-14,1893.65070378,2043.9945211,2070.99799421,,1529.62893901,1677.61856509,,2263.31753685,2054.88466947,,
1975-04-26,1893.65070378,2043.9945211,2070.99799421,,1544.42461994,1677.61856509,,2263.31753685,2054.88466947,,
1975-05-16,1893.65070378,2043.9945211,2070.99799421,,1566.44373679,1677.61856509,,2271.5378883,2054.88466947,,
1975-05-17,1893.65070378,2063.54820886,2070.99799421,,1566.44373679,1677.61856509,,2271.5378883,2054.88466947,,
1975-05-24,1893.65070378,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2271.5378883,2054.88466947,,
1975-05-31,1908.80719448,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2271.5378883,2054.88466947,,
1975-06-03,1908.80719448,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2271.5378883,2057.64998579,,
1975-06-30,1908.80719448,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2281.38210946,2057.64998579,,
1975-07-18,1916.98793702,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2281.38210946,2057.64998579,,
1975-08-02,1916.98793702,2063.54820886,2070.99799421,,1566.44373679,1688.6365669,,2281.38210946,2058.11128675,,
1975-08-07,1916.98793702,2063.54820886,2070.99799421,,1566.44373679,1700.51740892,,2281.38210946,2058.11128675,,
1975-08-16,1916.98793702,2063.54820886,2070.99799421,,1599.3517397,1700.51740892,,2281.38210946,2058.11128675,,
1975-08-26,1916.98793702,2063.54820886,2070.99799421,,1619.71331846,1700.51740892,,2281.38210946,2058.11128675,,
1975-09-13,1916.98793702,2063.54820886,2070.99799421,,1619.71331846,1700.51740892,,2281.38210946,2058.33025806,,
1975-09-20,1916.98793702,2065.47611917,2070.99799421,,1619.71331846,1700.51740892,,2281.38210946,2058.33025806,,
1975-09-30,1916.98793702,2065.47611917,2070.99799421,,1619.71331846,1714.41811698,,2281.38210946,2062.36885276,,
1975-10-01,1916.98793702,2065.47611917,2070.99799421,,1664.95630887,1714.41811698,,2294.41372378,2062.36885276,,
1975-10-12,1935.34942728,2065.47611917,2070.99799421,,1664.95630887,1714.41811698,,2294.41372378,2062.36885276,,
1975-11-15,1935.34942728,2088.76814733,2070.99799421,,1664.95630887,1714.41811698,,2294.41372378,2062.36885276,,
1975-12-09,1935.34942728,2088.76814733,2070.99799421,,1676.62303439,1714.41811698,,2294.41372378,2062.36885276,,
1975-12-20,1944.87284072,2088.76814733,2070.99799421,,1695.14504471,1757.68773647,,2294.41372378,2069.6278442,,
1976-01-13,1944.87284072,2088.76814733,2070.99799421,,1695.14504471,1734.69887466,,2294.41372378,2069.6278442,,
1976-01-29,1944.87284072,2088.76814733,2070.99799421,,1709.62330675,1734.69887466,,2294.41372378,2069.6278442,,
1976-02-01,1959.88401766,2088.76814733,2070.99799421,,1709.62330675,1734.69887466,,2294.41372378,2069.6278442,,
1976-02-07,1959.88401766,2088.76814733,2070.99799421,,1709.62330675,1749.52512651,,2294.41372378,2069.6278442,,
1976-02-20,1959.88401766,2088.76814733,2070.99799421,,1709.62330675,1749.52512651,,2295.867225,2069.6278442,,
1976-03-06,1959.88401766,2043.65145592,2070.99799421,,1709.62330675,1749.52512651,,2295.867225,2069.6278442,,
1976-03-09,1959.88401766,2043.65145592,2070.99799421,,1709.62330675,1724.87612249,,2295.867225,2069.6278442,,
1976-04-05,1959.88401766,2043.65145592,2070.99799421,,1726.9098011,1724.87612249,,2295.867225,2069.6278442,,
1976-04-10,1960.3366335,2043.65145592,2070.99799421,,1726.9098011,1724.87612249,,2295.867225,2069.6278442,,
1976-04-30,1960.3366335,2043.65145592,2070.99799421,,1752.59718528,1724.87612249,,2298.15225097,2069.6278442,,
1976-05-04,1960.3366335,2043.65145592,2070.99799421,,1752.59718528,1724.87612249,,2298.15225097,2072.19510013,,
1976-05-23,1960.3366335,2047.72969764,2070.99799421,,1752.59718528,1724.87612249,,2298.15225097,2076.52100869,,
1976-05-24,1960.3366335,2047.72969764,2070.99799421,,1752.59718528,1724.87612249,,2300.81392158,2076.52100869,,
1976-06-02,1960.3366335,2047.72969764,2070.99799421,,1752.59718528,1729.58732136,,2300.81392158,2076.52100869,,
1976-06-19,1972.04127681,2047.72969764,2070.99799421,,1752.59718528,1729.58732136,,2300.81392158,2076.52100869,,
1976-07-17,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1729.58732136,,2300.81392158,2076.52100869,,
1976-07-31,1972.04127681,2048.13384687,2070.99799421,,1752.59718528,1729.58732136,,2300.81392158,2082.48155256,,
