date,Evander Holyfield,Felix Trinidad,Julio Cesar Chavez,Lennox Lewis,Mike Tyson,Oscar De La Hoya,Pernell Whitaker,Roy Jones Jr.,Sugar Ray Leonard,Thomas Hearns,Virgil Hill
1985-01-05,1279.45763669,,1841.30088674,,,,1284.3990301,,2120.12031891,2111.05789753,1260.41269864
1985-01-20,1360.26377212,,1841.30088674,,,,1330.63775441,,2120.12031891,2111.05789753,1260.41269864
1985-02-16,1360.26377212,,1841.30088674,,,,1330.63775441,,2120.12031891,2111.05789753,1306.98614441
1985-03-06,1360.26377212,,1841.30088674,,1237.46423123,,1330.63775441,,2120.12031891,2111.05789753,1306.98614441
1985-03-13,1377.06272029,,1841.30088674,,1237.46423123,,1372.50367249,,2120.12031891,2111.05789753,1306.98614441
1985-04-10,1377.06272029,,1841.30088674,,1276.45959208,,1372.50367249,,2120.12031891,2111.05789753,1306.98614441
1985-04-15,1377.06272029,,1841.30088674,,1276.45959208,,1372.50367249,,2120.12031891,2092.26202748,1306.98614441
1985-04-19,1377.06272029,,1872.63577021,,1276.45959208,,1372.50367249,,2120.12031891,2092.26202748,1306.98614441
1985-04-20,1440.61168971,,1872.63577021,,1276.45959208,,1421.39988157,,2120.12031891,2092.26202748,1306.98614441
1985-05-23,1440.61168971,,1872.63577021,,1310.9641456,,1421.39988157,,2120.12031891,2092.26202748,1306.98614441
1985-06-20,1440.61168971,,1872.63577021,,1352.43516548,,1421.39988157,,2120.12031891,2092.26202748,1306.98614441
1985-07-07,1440.61168971,,1900.1045763,,1352.43516548,,1421.39988157,,2120.12031891,2092.26202748,1306.98614441
1985-07-11,1440.61168971,,1900.1045763,,1390.39113326,,1421.39988157,,2120.12031891,2092.26202748,1306.98614441
1985-07-13,1440.61168971,,1900.1045763,,1390.39113326,,1421.39988157,,2120.12031891,2092.26202748,1348.96440513
1985-07-19,1440.61168971,,1900.1045763,,1401.65598888,,1421.39988157,,2120.12031891,2092.26202748,1348.96440513
1985-07-20,1493.502663,,1900.1045763,,1401.65598888,,1497.22241008,,2120.12031891,2092.26202748,1348.96440513
1985-08-15,1493.502663,,1900.1045763,,1441.11240848,,1497.22241008,,2120.12031891,2092.26202748,1348.96440513
1985-08-29,1505.17018361,,1900.1045763,,1441.11240848,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-09-05,1505.17018361,,1900.1045763,,1486.30273271,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-09-21,1505.17018361,,1904.00737625,,1486.30273271,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-10-09,1505.17018361,,1904.00737625,,1541.1001683,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-10-25,1505.17018361,,1904.00737625,,1556.67493129,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-10-30,1522.81015553,,1904.00737625,,1556.67493129,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-11-01,1522.81015553,,1904.00737625,,1563.41481294,,1515.05849759,,2120.12031891,2092.26202748,1348.96440513
1985-11-12,1522.81015553,,1904.00737625,,1563.41481294,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-11-13,1522.81015553,,1904.00737625,,1581.7441452,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-11-22,1522.81015553,,1904.00737625,,1602.48175491,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-12-06,1522.81015553,,1904.00737625,,1616.78511936,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-12-19,1522.81015553,,1910.41245533,,1616.78511936,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-12-21,1575.61078984,,1910.41245533,,1616.78511936,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1985-12-27,1575.61078984,,1910.41245533,,1624.11654252,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1986-01-11,1575.61078984,,1910.41245533,,1649.19237704,,1521.25266545,,2120.12031891,2092.26202748,1348.96440513
1986-01-22,1575.61078984,,1910.41245533,,1649.19237704,,1521.25266545,,2120.12031891,2092.26202748,1382.6905738
1986-01-24,1575.61078984,,1910.41245533,,1662.17169059,,1521.25266545,,2120.12031891,2092.26202748,1382.6905738
1986-02-16,1575.61078984,,1910.41245533,,1695.03253734,,1521.25266545,,2120.12031891,2092.26202748,1382.6905738
1986-03-01,1628.33770391,,1910.41245533,,1695.03253734,,1521.25266545,,2120.12031891,2092.26202748,1382.6905738
1986-03-02,1628.33770391,,1910.41245533,,1695.03253734,,1521.25266545,,2120.12031891,2092.26202748,1433.66722155
1986-03-09,1628.33770391,,1910.41245533,,1695.03253734,,1576.44759539,,2120.12031891,2092.26202748,1433.66722155
1986-03-10,1628.33770391,,1910.41245533,,1707.57547532,,1576.44759539,,2120.12031891,2099.62137178,1433.66722155
