date,Bernard Hopkins,Felix Trinidad,Floyd Mayweather Jr,Joe Calzaghe,Kostya Tszyu,Lennox Lewis,Manny Pacquiao,Oscar De La Hoya,Ricky Hatton,Roy Jones Jr.,Wladimir Klitschko
1995-01-25,1797.67172574,1936.50327136,,1428.05970999,1772.37606676,1974.2260762,1242.85368826,1861.81208922,,1991.7848809,
1995-01-28,1797.67172574,1936.50327136,,1428.05970999,1808.84823411,1974.2260762,1242.85368826,1861.81208922,,1991.7848809,
1995-02-14,1797.67172574,1936.50327136,,1458.57267597,1808.84823411,1974.2260762,1242.85368826,1861.81208922,,1991.7848809,
1995-02-18,1797.67172574,1936.50327136,,1458.57267597,1808.84823411,1974.2260762,1242.85368826,1911.15343433,,1991.7848809,
1995-02-22,1797.67172574,1936.50327136,,1475.88875501,1808.84823411,1974.2260762,1242.85368826,1911.15343433,,1991.7848809,
1995-03-18,1797.67172574,1936.50327136,,1475.88875501,1808.84823411,1974.2260762,1282.28817349,1911.15343433,,2007.06307956,
1995-04-08,1797.67172574,1951.66506394,,1475.88875501,1808.84823411,1974.2260762,1282.28817349,1911.15343433,,2007.06307956,
1995-04-29,1822.34505901,1951.66506394,,1475.88875501,1808.84823411,1974.2260762,1282.28817349,1911.15343433,,2007.06307956,
1995-05-01,1822.34505901,1951.66506394,,1475.88875501,1808.84823411,1974.2260762,1339.57778668,1911.15343433,,2007.06307956,
1995-05-06,1822.34505901,1951.66506394,,1475.88875501,1808.84823411,1974.2260762,1339.57778668,1952.14877895,,2007.06307956,
1995-05-13,1822.34505901,1951.66506394,,1475.88875501,1808.84823411,1987.06068651,1339.57778668,1952.14877895,,2007.06307956,
1995-05-19,1822.34505901,1951.66506394,,1521.11108404,1808.84823411,1987.06068651,1339.57778668,1952.14877895,,2007.06307956,
1995-06-24,1822.34505901,1951.66506394,,1521.11108404,1808.84823411,1987.06068651,1339.57778668,1952.14877895,,2034.08626817,
1995-06-25,1822.34505901,1951.66506394,,1521.11108404,1849.63227277,1987.06068651,1339.57778668,1952.14877895,,2034.08626817,
1995-07-01,1822.34505901,1951.66506394,,1521.11108404,1849.63227277,1987.06068651,1382.87387459,1952.14877895,,2034.08626817,
1995-07-02,1822.34505901,1951.66506394,,1521.11108404,1849.63227277,1990.06018108,1382.87387459,1952.14877895,,2034.08626817,
1995-07-08,1822.34505901,1951.66506394,,1539.10919493,1849.63227277,1990.06018108,1382.87387459,1952.14877895,,2034.08626817,
1995-08-03,1822.34505901,1951.66506394,,1539.10919493,1849.63227277,1990.06018108,1423.22675661,1952.14877895,,2034.08626817,
1995-09-09,1822.34505901,1951.66506394,,1539.10919493,1849.63227277,1990.06018108,1423.22675661,1989.0808256,,2034.08626817,
1995-09-16,1822.34505901,1951.66506394,,1539.10919493,1849.63227277,1990.06018108,1437.46333387,1989.0808256,,2034.08626817,
1995-09-30,1822.34505901,1951.66506394,,1555.74735403,1849.63227277,1990.06018108,1437.46333387,1989.0808256,,2045.22926252,
1995-10-07,1822.34505901,1951.66506394,,1555.74735403,1849.63227277,2017.0788019,1452.9635966,1989.0808256,,2045.22926252,
1995-10-21,1822.34505901,1951.66506394,,1555.74735403,1849.63227277,2017.0788019,1469.05249513,1989.0808256,,2045.22926252,
1995-10-28,1822.34505901,1951.66506394,,1592.19710309,1849.63227277,2017.0788019,1469.05249513,1989.0808256,,2045.22926252,
1995-11-11,1822.34505901,1951.66506394,,1592.19710309,1849.63227277,2017.0788019,1488.77424074,1989.0808256,,2045.22926252,
1995-11-18,1822.34505901,1978.21937601,,1592.19710309,1849.63227277,2017.0788019,1488.77424074,1989.0808256,,2045.22926252,
1995-12-09,1822.34505901,1978.21937601,,1592.19710309,1849.63227277,2017.0788019,1509.24779833,1989.0808256,,2045.22926252,
1995-12-15,1822.34505901,1978.21937601,,1592.19710309,1849.63227277,2017.0788019,1509.24779833,2015.35360429,,2045.22926252,
1996-01-12,1822.34505901,1978.21937601,,1592.19710309,1849.63227277,2017.0788019,1509.24779833,2015.35360429,,2053.48811083,
1996-01-13,1822.34505901,1978.21937601,,1592.19710309,1849.63227277,2017.0788019,1520.75000317,2015.35360429,,2053.48811083,
1996-01-20,1822.34505901,1978.21937601,,1592.19710309,1877.23932374,2017.0788019,1520.75000317,2015.35360429,,2053.48811083,
1996-01-27,1835.5861268,1978.21937601,,1592.19710309,1877.23932374,2017.0788019,1520.75000317,2015.35360429,,2053.48811083,
1996-02-09,1835.5861268,1978.21937601,,1592.19710309,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-02-10,1835.5861268,1996.45662309,,1592.19710309,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-02-13,1835.5861268,1996.45662309,,1600.5750568,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-03-13,1835.5861268,1996.45662309,,1616.07653936,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-03-16,1865.89861879,1996.45662309,,1616.07653936,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-04-20,1865.89861879,1996.45662309,,1655.86945601,1877.23932374,2017.0788019,1469.82894634,2024.68075516,,2053.48811083,
1996-04-27,1865.89861879,1996.45662309,,1655.86945601,1877.23932374,2017.0788019,1521.76194322,2024.68075516,,2053.48811083,
1996-05-04,1865.89861879,1996.45662309,,1676.48863923,1877.23932374,2017.0788019,1521.76194322,2024.68075516,,2053.48811083,
1996-05-10,1865.89861879,1996.45662309,,1676.48863923,1877.23932374,2027.94732917,1521.76194322,2024.68075516,,2053.48811083,
1996-05-15,1865.89861879,1996.45662309,,1702.58552995,1877.23932374,2027.94732917,1521.76194322,2024.68075516,,2053.48811083,
1996-05-18,1865.89861879,2018.41142006,,1702.58552995,1877.23932374,2027.94732917,1521.76194322,2024.68075516,,2053.48811083,
1996-05-20,1865.89861879,2018.41142006,,1702.58552995,1877.23932374,2027.94732917,1532.80696582,2024.68075516,,2053.48811083,
1996-05-24,1865.89861879,2018.41142006,,1702.58552995,1894.3328856,2027.94732917,1532.80696582,2024.68075516,,2053.48811083,
1996-06-07,1865.89861879,2018.41142006,,1702.58552995,1894.3328856,2027.94732917,1532.80696582,2061.50066152,,2053.48811083,
1996-06-15,1865.89861879,2018.41142006,,1702.58552995,1894.3328856,2027.94732917,1564.37403576,2061.50066152,,2058.47813717,
1996-07-16,1875.94634653,2018.41142006,,1702.58552995,1894.3328856,2027.94732917,1564.37403576,2061.50066152,,2058.47813717,
1996-07-27,1875.94634653,2018.41142006,,1702.58552995,1894.3328856,2027.94732917,1568.44304787,2061.50066152,,2058.47813717,
1996-09-07,1875.94634653,2024.77260737,,1702.58552995,1894.3328856,2027.94732917,1568.44304787,2061.50066152,,2058.47813717,
1996-09-14,1875.94634653,2024.77260737,,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2058.47813717,
1996-10-04,1875.94634653,2024.77260737,,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2064.66759243,
1996-11-16,1875.94634653,2024.77260737,,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2064.66759243,1266.32013898
1996-11-22,1875.94634653,2024.77260737,,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2087.73538351,1266.32013898
1996-11-30,1875.94634653,2024.77260737,1249.2551935,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2087.73538351,1295.10756245
1996-12-21,1875.94634653,2024.77260737,1249.2551935,1702.58552995,1934.02842526,2027.94732917,1568.44304787,2061.50066152,,2087.73538351,1335.83679161
1996-12-28,1875.94634653,2024.77260737,1249.2551935,1702.58552995,1934.02842526,2027.94732917,1574.40664408,2061.50066152,,2087.73538351,1335.83679161
1997-01-11,1875.94634653,2030.42242743,1249.2551935,1702.58552995,1934.02842526,2027.94732917,1574.40664408,2061.50066152,,2087.73538351,1335.83679161
1997-01-18,1875.94634653,2030.42242743,1293.35175237,1702.58552995,1906.07148076,2027.94732917,1574.40664408,2070.65961155,,2087.73538351,1335.83679161
1997-01-21,1875.94634653,2030.42242743,1293.35175237,1709.03420317,1906.07148076,2027.94732917,1574.40664408,2070.65961155,,2087.73538351,1335.83679161
1997-01-25,1875.94634653,2030.42242743,1293.35175237,1709.03420317,1906.07148076,2027.94732917,1574.40664408,2070.65961155,,2087.73538351,1388.3002427
1997-02-01,1875.94634653,2030.42242743,1330.23157532,1709.03420317,1906.07148076,2027.94732917,1574.40664408,2070.65961155,,2087.73538351,1388.3002427
1997-02-07,1875.94634653,2030.42242743,1330.23157532,1709.03420317,1906.07148076,2041.63244764,1574.40664408,2070.65961155,,2087.73538351,1388.3002427
1997-02-15,1875.94634653,2030.42242743,1330.23157532,1709.03420317,1906.07148076,2041.63244764,1574.40664408,2070.65961155,,2087.73538351,1443.08524378
1997-03-08,1875.94634653,2030.42242743,1330.23157532,1709.03420317,1906.07148076,2041.63244764,1594.05019965,2070.65961155,,2087.73538351,1443.08524378
1997-03-12,1875.94634653,2030.42242743,1378.95084586,1709.03420317,1906.07148076,2041.63244764,1594.05019965,2070.65961155,,2087.73538351,1443.08524378
1997-03-21,1875.94634653,2030.42242743,1378.95084586,1709.03420317,1906.07148076,2041.63244764,1594.05019965,2070.65961155,,2046.39266278,1443.08524378
1997-03-22,1875.94634653,2030.42242743,1378.95084586,1727.88593461,1906.07148076,2041.63244764,1594.05019965,2070.65961155,,2046.39266278,1443.08524378
1997-04-12,1875.94634653,2030.42242743,1423.03232735,1727.88593461,1906.07148076,2041.63244764,1594.05019965,2102.27498345,,2046.39266278,1454.67371624
1997-04-19,1909.98698742,2030.42242743,1423.03232735,1727.88593461,1906.07148076,2041.63244764,1594.05019965,2102.27498345,,2046.39266278,1454.67371624
1997-04-24,1909.98698742,2030.42242743,1423.03232735,1727.88593461,1906.07148076,2041.63244764,1599.87423753,2102.27498345,,2046.39266278,1454.67371624
1997-05-09,1909.98698742,2030.42242743,1443.08482031,1727.88593461,1906.07148076,2041.63244764,1599.87423753,2102.27498345,,2046.39266278,1454.67371624
1997-05-10,1909.98698742,2030.42242743,1443.08482031,1727.88593461,1906.07148076,2041.63244764,1599.87423753,2102.27498345,,2046.39266278,1499.80835734
1997-05-30,1909.98698742,2030.42242743,1443.08482031,1727.88593461,1906.07148076,2041.63244764,1616.75477064,2102.27498345,,2046.39266278,1499.80835734
1997-05-31,1909.98698742,2030.42242743,1443.08482031,1727.88593461,1857.52033871,2041.63244764,1616.75477064,2102.27498345,,2046.39266278,1499.80835734
1997-06-05,1909.98698742,2030.42242743,1443.08482031,1765.7742276,1857.52033871,2041.63244764,1616.75477064,2102.27498345,,2046.39266278,1499.80835734
1997-06-13,1909.98698742,2030.42242743,1443.08482031,1765.7742276,1857.52033871,2041.63244764,1616.75477064,2102.27498345,,2046.39266278,1521.20170832
1997-06-14,1909.98698742,2030.42242743,1489.04410648,1765.7742276,1857.52033871,2041.63244764,1616.75477064,2109.94849517,,2046.39266278,1521.20170832
1997-06-26,1909.98698742,2030.42242743,1489.04410648,1765.7742276,1857.52033871,2041.63244764,1665.22276226,2109.94849517,,2046.39266278,1521.20170832
1997-06-27,1909.98698742,2030.42242743,1489.04410648,1765.7742276,1857.52033871,2041.63244764,1665.22276226,2109.94849517,,2046.39266278,1540.37464047
1997-07-12,1909.98698742,2030.42242743,1553.74185188,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,,2046.39266278,1551.49606686
1997-07-20,1919.68176147,2030.42242743,1553.74185188,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,,2046.39266278,1551.49606686
1997-08-07,1919.68176147,2030.42242743,1553.74185188,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,,2060.15137988,1551.49606686
1997-08-23,1919.68176147,2045.97613134,1553.74185188,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,,2060.15137988,1564.8991783
1997-09-06,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,,2060.15137988,1564.8991783
1997-09-11,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2109.94849517,1209.08616833,2060.15137988,1564.8991783
1997-09-13,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2060.00589987,1665.22276226,2128.1457979,1209.08616833,2060.15137988,1564.8991783
1997-09-14,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2060.00589987,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1564.8991783
1997-09-20,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2060.00589987,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1592.09714912
1997-10-04,1919.68176147,2045.97613134,1586.80591126,1765.7742276,1857.52033871,2068.30519112,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1592.09714912
1997-10-11,1919.68176147,2045.97613134,1586.80591126,1825.83657825,1857.52033871,2068.30519112,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1608.92174142
1997-10-14,1919.68176147,2045.97613134,1599.99844695,1825.83657825,1857.52033871,2068.30519112,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1608.92174142
1997-11-18,1932.32017192,2045.97613134,1599.99844695,1825.83657825,1857.52033871,2068.30519112,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1608.92174142
1997-11-20,1932.32017192,2045.97613134,1615.79778386,1825.83657825,1857.52033871,2068.30519112,1680.98936288,2128.1457979,1209.08616833,2060.15137988,1608.92174142
1997-12-06,1932.32017192,2045.97613134,1615.79778386,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1209.08616833,2060.15137988,1628.92891871
1997-12-13,1932.32017192,2045.97613134,1615.79778386,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1209.08616833,2060.15137988,1633.44091651
1997-12-19,1932.32017192,2045.97613134,1615.79778386,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1262.34779942,2060.15137988,1633.44091651
1997-12-20,1932.32017192,2045.97613134,1615.79778386,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1262.34779942,2060.15137988,1641.32716579
1998-01-09,1932.32017192,2045.97613134,1635.86871943,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1262.34779942,2060.15137988,1641.32716579
1998-01-17,1932.32017192,2045.97613134,1635.86871943,1825.83657825,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1641.32716579
1998-01-24,1932.32017192,2045.97613134,1635.86871943,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1641.32716579
1998-01-31,1966.97719009,2045.97613134,1635.86871943,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1641.32716579
1998-02-14,1966.97719009,2045.97613134,1635.86871943,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1664.86928037
1998-02-28,1966.97719009,2045.97613134,1652.82160547,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1664.86928037
1998-03-14,1966.97719009,2045.97613134,1652.82160547,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1683.63909552
1998-03-23,1966.97719009,2045.97613134,1666.54622986,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1286.18914464,2060.15137988,1683.63909552
1998-03-27,1966.97719009,2045.97613134,1666.54622986,1841.2917645,1901.11797569,2068.30519112,1691.61488477,2135.12009867,1307.58451577,2060.15137988,1683.63909552
1998-03-28,1966.97719009,2045.97613134,1666.54622986,1841.2917645,1901.11797569,2075.56911166,1691.61488477,2135.12009867,1307.58451577,2060.15137988,1683.63909552
1998-04-03,1966.97719009,2050.7189358,1666.54622986,1841.2917645,1901.11797569,2075.56911166,1691.61488477,2135.12009867,1307.58451577,2060.15137988,1683.63909552
1998-04-05,1966.97719009,2050.7189358,1666.54622986,1841.2917645,1925.22114581,2075.56911166,1691.61488477,2135.12009867,1307.58451577,2060.15137988,1683.63909552
1998-04-18,1966.97719009,2050.7189358,1703.55494288,1841.2917645,1925.22114581,2075.56911166,1691.61488477,2135.12009867,1338.11802634,2060.15137988,1683.63909552
1998-04-25,1966.97719009,2050.7189358,1703.55494288,1880.43631207,1925.22114581,2075.56911166,1691.61488477,2135.12009867,1338.11802634,2085.54371713,1683.63909552
1998-05-18,1966.97719009,2050.7189358,1703.55494288,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2135.12009867,1338.11802634,2085.54371713,1683.63909552
1998-05-23,1966.97719009,2050.7189358,1703.55494288,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2135.12009867,1338.11802634,2085.54371713,1713.39048225
1998-05-30,1966.97719009,2050.7189358,1703.55494288,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2135.12009867,1376.78969236,2085.54371713,1713.39048225
1998-06-13,1966.97719009,2050.7189358,1703.55494288,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2139.96705097,1376.78969236,2085.54371713,1713.39048225
1998-06-14,1966.97719009,2050.7189358,1749.04965543,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2139.96705097,1376.78969236,2085.54371713,1713.39048225
1998-07-10,1966.97719009,2050.7189358,1749.04965543,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2139.96705097,1376.78969236,2085.54371713,1730.22706961
1998-07-18,1966.97719009,2050.7189358,1749.04965543,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2139.96705097,1412.13262101,2092.53133958,1730.22706961
1998-08-06,1966.97719009,2050.7189358,1749.04965543,1880.43631207,1925.22114581,2075.56911166,1708.54610025,2139.96705097,1412.13262101,2092.53133958,1743.04065574
1998-08-15,1966.97719009,2050.7189358,1749.04965543,1880.43631207,1960.18327315,2075.56911166,1708.54610025,2139.96705097,1412.13262101,2092.53133958,1743.04065574
1998-08-28,1943.19341532,2050.7189358,1749.04965543,1880.43631207,1960.18327315,2075.56911166,1708.54610025,2139.96705097,1412.13262101,2092.53133958,1743.04065574
