date,Bruno Arcari,Carlos Monzon,Emile Griffith,Jose Napoles,Ken Buchanan,Luis Manuel Rodriguez,Muhammad Ali,Nicolino Locche,Nino Benvenuti,Vicente Saldivar,Victor Galindez
1965-01-08,1151.91788991,1523.57448074,2184.74640489,2045.45641933,,2163.61851492,2038.24935761,1878.79548744,2069.24413812,1967.43039432,
1965-01-22,1151.91788991,1523.57448074,2184.74640489,2045.45641933,,2163.61851492,2038.24935761,1878.79548744,2074.17285526,1967.43039432,
1965-01-26,1151.91788991,1523.57448074,2141.51992947,2045.45641933,,2163.61851492,2038.24935761,1881.23809656,2074.17285526,1967.43039432,
1965-02-12,1151.91788991,1523.57448074,2141.51992947,2045.45641933,,2171.94147938,2038.24935761,1881.23809656,2077.75647335,1967.43039432,
1965-02-19,1209.17602527,1523.57448074,2141.51992947,2045.45641933,,2171.94147938,2038.24935761,1881.23809656,2077.75647335,1967.43039432,
1965-02-27,1209.17602527,1523.57448074,2141.51992947,2045.45641933,,2171.94147938,2038.24935761,1881.23809656,2085.55730494,1967.43039432,
1965-02-28,1209.17602527,1523.57448074,2141.51992947,2061.86901193,,2171.94147938,2038.24935761,1881.23809656,2085.55730494,1967.43039432,
1965-03-11,1209.17602527,1562.0340209,2141.51992947,2061.86901193,,2171.94147938,2038.24935761,1881.23809656,2085.55730494,1967.43039432,
1965-03-19,1209.17602527,1562.0340209,2141.51992947,2061.86901193,,2171.94147938,2038.24935761,1881.23809656,2086.19309319,1967.43039432,
1965-03-20,1209.17602527,1562.0340209,2141.51992947,2061.86901193,,2171.94147938,2038.24935761,1911.37486467,2086.19309319,1967.43039432,
1965-03-25,1209.17602527,1562.0340209,2141.51992947,2071.95617343,,2171.94147938,2038.24935761,1911.37486467,2086.19309319,1967.43039432,
1965-03-26,1209.17602527,1562.0340209,2141.51992947,2071.95617343,,2179.02688626,2038.24935761,1911.37486467,2086.19309319,1967.43039432,
1965-03-30,1209.17602527,1562.0340209,2154.42038496,2071.95617343,,2179.02688626,2038.24935761,1911.37486467,2086.19309319,1967.43039432,
1965-04-02,1209.17602527,1562.0340209,2154.42038496,2071.95617343,,2179.02688626,2038.24935761,1911.37486467,2093.14463612,1967.43039432,
1965-04-03,1243.7843584,1562.0340209,2154.42038496,2071.95617343,,2179.02688626,2038.24935761,1911.37486467,2093.14463612,1967.43039432,
1965-04-09,1243.7843584,1562.47124752,2154.42038496,2071.95617343,,2179.02688626,2038.24935761,1911.37486467,2093.14463612,1967.43039432,
1965-04-10,1243.7843584,1562.47124752,2154.42038496,2071.95617343,,2179.02688626,2038.24935761,1933.86067211,2093.14463612,1967.43039432,
1965-04-21,1243.7843584,1562.47124752,2154.42038496,2071.95617343,,2183.11822536,2038.24935761,1933.86067211,2093.14463612,1967.43039432,
1965-04-23,1308.27355089,1562.47124752,2154.42038496,2071.95617343,,2183.11822536,2038.24935761,1933.86067211,2093.14463612,1967.43039432,
1965-04-30,1308.27355089,1562.47124752,2154.42038496,2071.95617343,,2183.11822536,2038.24935761,1936.8827695,2095.49937545,1967.43039432,
1965-05-07,1308.27355089,1562.47124752,2154.42038496,2071.95617343,,2183.11822536,2038.24935761,1936.8827695,2095.49937545,1987.4969464,
1965-05-19,1308.27355089,1573.90867978,2154.42038496,2071.95617343,,2183.11822536,2038.24935761,1936.8827695,2095.49937545,1987.4969464,
1965-05-25,1308.27355089,1573.90867978,2154.42038496,2071.95617343,,2183.11822536,2068.88866229,1936.8827695,2095.49937545,1987.4969464,
1965-06-14,1308.27355089,1573.90867978,2158.69398587,2071.95617343,,2183.11822536,2068.88866229,1936.8827695,2095.49937545,1987.4969464,
1965-06-18,1308.27355089,1573.90867978,2158.69398587,2071.95617343,,2183.11822536,2068.88866229,1936.8827695,2116.79133894,1987.4969464,
1965-07-14,1308.27355089,1588.55085542,2158.69398587,2071.95617343,,2183.11822536,2068.88866229,1936.8827695,2116.79133894,1987.4969464,
1965-07-16,1308.27355089,1588.55085542,2158.69398587,2071.95617343,,2187.67181584,2068.88866229,1936.8827695,2116.79133894,1987.4969464,
1965-07-17,1308.27355089,1588.55085542,2158.69398587,2071.95617343,,2187.67181584,2068.88866229,1949.01934376,2116.79133894,1987.4969464,
1965-07-26,1308.27355089,1588.55085542,2158.69398587,2071.95617343,,2188.23603856,2068.88866229,1949.01934376,2116.79133894,1987.4969464,
1965-08-01,1308.27355089,1623.44688548,2158.69398587,2071.95617343,,2188.23603856,2068.88866229,1949.01934376,2116.79133894,1987.4969464,
1965-08-03,1308.27355089,1623.44688548,2158.69398587,2096.26702253,,2190.54284615,2068.88866229,1949.01934376,2116.79133894,1987.4969464,
1965-08-06,1308.27355089,1623.44688548,2158.69398587,2096.26702253,,2190.54284615,2068.88866229,1950.70293088,2116.79133894,1987.4969464,
1965-08-14,1308.27355089,1597.01487311,2158.69398587,2096.26702253,,2190.54284615,2068.88866229,1950.70293088,2116.79133894,1987.4969464,
1965-08-16,1308.27355089,1597.01487311,2158.69398587,2096.26702253,,2190.54284615,2068.88866229,1950.70293088,2117.40857183,1987.4969464,
1965-08-19,1308.27355089,1597.01487311,2113.94103267,2096.26702253,,2190.54284615,2068.88866229,1950.70293088,2117.40857183,1987.4969464,
1965-08-26,1308.27355089,1597.01487311,2113.94103267,2096.26702253,,2196.73956713,2068.88866229,1950.70293088,2117.40857183,1987.4969464,
1965-08-28,1308.27355089,1574.36614029,2113.94103267,2096.26702253,,2196.73956713,2068.88866229,1950.70293088,2117.40857183,1987.4969464,
1965-08-29,1368.24434967,1574.36614029,2113.94103267,2096.26702253,,2196.73956713,2068.88866229,1950.70293088,2117.40857183,1987.4969464,
1965-09-07,1368.24434967,1574.36614029,2113.94103267,2096.26702253,,2196.73956713,2068.88866229,1950.70293088,2117.40857183,2031.16923248,
1965-09-14,1368.24434967,1574.36614029,2119.32649144,2096.26702253,,2196.73956713,2068.88866229,1950.70293088,2117.40857183,2031.16923248,
1965-09-17,1368.24434967,1574.36614029,2119.32649144,2096.26702253,,2196.73956713,2068.88866229,1963.88937808,2117.40857183,2031.16923248,
1965-09-20,1368.24434967,1574.36614029,2119.32649144,2096.26702253,1248.73224428,2196.73956713,2068.88866229,1963.88937808,2117.40857183,2031.16923248,
1965-10-04,1368.24434967,1574.36614029,2123.630964,2096.26702253,1248.73224428,2196.73956713,2068.88866229,1963.88937808,2117.40857183,2031.16923248,
1965-10-05,1368.24434967,1574.36614029,2123.630964,2096.26702253,1248.73224428,2199.84425113,2068.88866229,1963.88937808,2117.40857183,2031.16923248,
1965-10-06,1368.24434967,1578.98725715,2123.630964,2096.26702253,1248.73224428,2199.84425113,2068.88866229,1963.88937808,2117.40857183,2031.16923248,
1965-10-15,1466.75982932,1578.98725715,2123.630964,2096.26702253,1248.73224428,2199.84425113,2068.88866229,1963.88937808,2139.40210853,2031.16923248,
1965-10-18,1466.75982932,1578.98725715,2123.630964,2096.26702253,1308.52049094,2199.84425113,2068.88866229,1963.88937808,2139.40210853,2031.16923248,
1965-11-01,1466.75982932,1578.98725715,2123.630964,2096.26702253,1348.12451122,2199.84425113,2068.88866229,1963.88937808,2139.40210853,2031.16923248,
1965-11-05,1466.75982932,1578.98725715,2123.630964,2096.26702253,1348.12451122,2199.84425113,2068.88866229,1963.88937808,2140.06135225,2031.16923248,
1965-11-15,1466.75982932,1578.98725715,2123.630964,2096.26702253,1348.12451122,2199.84425113,2068.88866229,1963.88937808,2140.5341184,2031.16923248,
1965-11-16,1466.75982932,1578.98725715,2123.630964,2096.26702253,1348.12451122,2200.21837698,2068.88866229,1963.88937808,2140.5341184,2031.16923248,
1965-11-17,1466.75982932,1624.24637958,2123.630964,2096.26702253,1348.12451122,2200.21837698,2068.88866229,1963.88937808,2140.5341184,2031.16923248,
1965-11-22,1466.75982932,1624.24637958,2123.630964,2096.26702253,1370.04664006,2200.21837698,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-02,1466.75982932,1624.24637958,2123.630964,2096.26702253,1370.04664006,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-03,1521.83527444,1624.24637958,2123.630964,2096.26702253,1370.04664006,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-08,1521.83527444,1675.39987268,2123.630964,2096.26702253,1370.04664006,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-10,1521.83527444,1675.39987268,2137.36339709,2096.26702253,1370.04664006,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-11,1521.83527444,1675.39987268,2137.36339709,2100.37321877,1370.04664006,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-13,1521.83527444,1675.39987268,2137.36339709,2100.37321877,1401.73508148,2204.60492787,2099.63711259,1963.88937808,2140.5341184,2031.16923248,
1965-12-17,1521.83527444,1675.39987268,2137.36339709,2100.37321877,1401.73508148,2204.60492787,2099.63711259,1963.88937808,2157.8404972,2031.16923248,
1965-12-18,1521.83527444,1675.39987268,2137.36339709,2100.37321877,1401.73508148,2204.60492787,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
1965-12-20,1521.83527444,1675.39987268,2137.36339709,2100.37321877,1401.73508148,2206.29287396,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
1965-12-26,1553.46728838,1675.39987268,2137.36339709,2100.37321877,1401.73508148,2206.29287396,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
1965-12-29,1553.46728838,1701.24132041,2137.36339709,2100.37321877,1401.73508148,2206.29287396,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
1966-01-18,1553.46728838,1701.24132041,2137.36339709,2100.37321877,1401.73508148,2206.85012424,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
1966-01-19,1571.69403332,1701.24132041,2137.36339709,2100.37321877,1401.73508148,2206.85012424,2099.63711259,1983.52990256,2157.8404972,2031.16923248,
