date,Alexander Povetkin,Bernard Hopkins,Floyd Mayweather Jr,Gennady Golovkin,Juan Manuel Marquez,Manny Pacquiao,Miguel Cotto,Saul Alvarez,Sergio Gabriel Martinez,Vitali Klitschko,Wladimir Klitschko
2005-01-07,,2133.77802083,2092.8143074,,2032.21876019,2028.73456621,1928.21917708,,1920.92576395,2042.96233247,2002.03344198
2005-01-22,,2133.77802083,2096.42414852,,2032.21876019,2028.73456621,1928.21917708,,1920.92576395,2042.96233247,2002.03344198
2005-02-19,,2145.51521428,2096.42414852,,2032.21876019,2028.73456621,1928.21917708,,1920.92576395,2042.96233247,2002.03344198
2005-02-26,,2145.51521428,2096.42414852,,2032.21876019,2028.73456621,1947.41982558,,1920.92576395,2042.96233247,2002.03344198
2005-03-04,,2145.51521428,2096.42414852,,2032.21876019,2028.73456621,1947.41982558,,1930.45900204,2042.96233247,2002.03344198
2005-03-19,,2145.51521428,2096.42414852,,2032.21876019,2006.49112956,1947.41982558,,1930.45900204,2042.96233247,2002.03344198
2005-04-23,,2145.51521428,2096.42414852,,2032.21876019,2006.49112956,1947.41982558,,1930.45900204,2042.96233247,2007.35052752
2005-05-07,,2145.51521428,2096.42414852,,2044.07554361,2006.49112956,1947.41982558,,1930.45900204,2042.96233247,2007.35052752
2005-06-11,1251.55768396,2145.51521428,2096.42414852,,2044.07554361,2006.49112956,1963.77531389,,1930.45900204,2042.96233247,2007.35052752
2005-06-25,1251.55768396,2145.51521428,2113.61124031,,2044.07554361,2006.49112956,1963.77531389,,1930.45900204,2042.96233247,2007.35052752
2005-07-16,1251.55768396,2105.83656321,2113.61124031,,2044.07554361,2006.49112956,1963.77531389,,1930.45900204,2042.96233247,2007.35052752
2005-09-03,1305.56201144,2105.83656321,2113.61124031,,2044.07554361,2006.49112956,1963.77531389,,1930.45900204,2042.96233247,2007.35052752
2005-09-10,1305.56201144,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1963.77531389,,1930.45900204,2042.96233247,2007.35052752
2005-09-24,1305.56201144,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,,1930.45900204,2042.96233247,2022.53439648
2005-10-01,1347.52642787,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,,1930.45900204,2042.96233247,2022.53439648
2005-10-05,1347.52642787,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,,1931.07615365,2042.96233247,2022.53439648
2005-10-29,1347.52642787,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,1244.00635249,1931.07615365,2042.96233247,2022.53439648
2005-11-04,1347.52642787,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,1244.00635249,1931.88651568,2042.96233247,2022.53439648
2005-11-12,1388.46037315,2105.83656321,2113.61124031,,2044.07554361,2015.39092882,1975.00057297,1244.00635249,1931.88651568,2042.96233247,2022.53439648
2005-11-19,1388.46037315,2105.83656321,2132.15789867,,2044.07554361,2015.39092882,1975.00057297,1244.00635249,1931.88651568,2042.96233247,2022.53439648
2005-11-26,1388.46037315,2105.83656321,2132.15789867,,2044.07554361,2015.39092882,1975.00057297,1286.00513926,1931.88651568,2042.96233247,2022.53439648
2005-12-03,1388.46037315,2071.60025804,2132.15789867,,2044.07554361,2015.39092882,1975.00057297,1286.00513926,1931.88651568,2042.96233247,2022.53439648
2005-12-17,1436.82828421,2071.60025804,2132.15789867,,2044.07554361,2015.39092882,1975.00057297,1286.00513926,1931.88651568,2042.96233247,2022.53439648
2006-01-20,1436.82828421,2071.60025804,2132.15789867,,2044.07554361,2015.39092882,1975.00057297,1327.33059867,1931.88651568,2042.96233247,2022.53439648
2006-01-21,1436.82828421,2071.60025804,2132.15789867,,2044.07554361,2042.59114399,1975.00057297,1327.33059867,1931.88651568,2042.96233247,2022.53439648
2006-02-10,1436.82828421,2071.60025804,2132.15789867,,2044.07554361,2042.59114399,1975.00057297,1363.99559588,1931.88651568,2042.96233247,2022.53439648
2006-03-04,1505.58409223,2071.60025804,2132.15789867,,2007.47960491,2042.59114399,1995.27072,1363.99559588,1931.88651568,2042.96233247,2022.53439648
2006-04-01,1505.58409223,2071.60025804,2132.15789867,,2007.47960491,2042.59114399,1995.27072,1363.99559588,1932.90494766,2042.96233247,2022.53439648
2006-04-08,1505.58409223,2071.60025804,2146.80730224,,2007.47960491,2042.59114399,1995.27072,1363.99559588,1932.90494766,2042.96233247,2022.53439648
2006-04-22,1552.50209267,2071.60025804,2146.80730224,,2007.47960491,2042.59114399,1995.27072,1363.99559588,1932.90494766,2042.96233247,2048.47599838
2006-05-06,1552.50209267,2071.60025804,2146.80730224,1212.99082996,2007.47960491,2042.59114399,1995.27072,1363.99559588,1932.90494766,2042.96233247,2048.47599838
2006-05-26,1552.50209267,2071.60025804,2146.80730224,1212.99082996,2007.47960491,2042.59114399,1995.27072,1363.99559588,1935.0416836,2042.96233247,2048.47599838
2006-06-03,1593.32535073,2071.60025804,2146.80730224,1212.99082996,2007.47960491,2042.59114399,1995.27072,1363.99559588,1935.0416836,2042.96233247,2048.47599838
2006-06-10,1593.32535073,2088.16077358,2146.80730224,1212.99082996,2007.47960491,2042.59114399,2010.79374395,1363.99559588,1935.0416836,2042.96233247,2048.47599838
2006-06-17,1593.32535073,2088.16077358,2146.80730224,1212.99082996,2007.47960491,2042.59114399,2010.79374395,1339.24378315,1935.0416836,2042.96233247,2048.47599838
2006-07-02,1593.32535073,2088.16077358,2146.80730224,1212.99082996,2007.47960491,2063.85836005,2010.79374395,1339.24378315,1935.0416836,2042.96233247,2048.47599838
2006-07-21,1593.32535073,2088.16077358,2146.80730224,1212.99082996,2007.47960491,2063.85836005,2010.79374395,1375.48844836,1935.0416836,2042.96233247,2048.47599838
2006-07-29,1593.32535073,2088.16077358,2146.80730224,1249.36643212,2007.47960491,2063.85836005,2010.79374395,1375.48844836,1935.0416836,2042.96233247,2048.47599838
2006-08-05,1593.32535073,2088.16077358,2146.80730224,1249.36643212,2016.62966669,2063.85836005,2010.79374395,1375.48844836,1935.0416836,2042.96233247,2048.47599838
2006-08-22,1593.32535073,2088.16077358,2146.80730224,1302.20447073,2016.62966669,2063.85836005,2010.79374395,1375.48844836,1935.0416836,2042.96233247,2048.47599838
2006-09-15,1593.32535073,2088.16077358,2146.80730224,1302.20447073,2016.62966669,2063.85836005,2010.79374395,1405.61849423,1935.0416836,2042.96233247,2048.47599838
2006-09-19,1593.32535073,2088.16077358,2146.80730224,1320.5666907,2016.62966669,2063.85836005,2010.79374395,1405.61849423,1935.0416836,2042.96233247,2048.47599838
2006-09-23,1630.08549057,2088.16077358,2146.80730224,1320.5666907,2016.62966669,2063.85836005,2010.79374395,1405.61849423,1935.0416836,2042.96233247,2048.47599838
2006-09-29,1630.08549057,2088.16077358,2146.80730224,1320.5666907,2016.62966669,2063.85836005,2010.79374395,1433.67848606,1935.0416836,2042.96233247,2048.47599838
2006-10-07,1630.08549057,2088.16077358,2146.80730224,1320.5666907,2016.62966669,2063.85836005,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2048.47599838
2006-10-21,1630.08549057,2088.16077358,2146.80730224,1370.86237608,2016.62966669,2063.85836005,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2048.47599838
2006-11-04,1630.08549057,2088.16077358,2163.39952269,1370.86237608,2016.62966669,2063.85836005,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2048.47599838
2006-11-11,1630.08549057,2088.16077358,2163.39952269,1370.86237608,2016.62966669,2063.85836005,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2062.67406018
2006-11-18,1630.08549057,2088.16077358,2163.39952269,1370.86237608,2016.62966669,2085.63755647,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2062.67406018
2006-11-25,1630.08549057,2088.16077358,2163.39952269,1370.86237608,2023.16144875,2085.63755647,2010.79374395,1433.67848606,1936.03419737,2042.96233247,2062.67406018
2006-12-02,1630.08549057,2088.16077358,2163.39952269,1400.26959327,2023.16144875,2085.63755647,2022.51674846,1433.67848606,1936.03419737,2042.96233247,2062.67406018
2006-12-08,1630.08549057,2088.16077358,2163.39952269,1400.26959327,2023.16144875,2085.63755647,2022.51674846,1451.57327535,1936.03419737,2042.96233247,2062.67406018
2006-12-10,1667.96003531,2088.16077358,2163.39952269,1400.26959327,2023.16144875,2085.63755647,2022.51674846,1451.57327535,1936.03419737,2042.96233247,2062.67406018
2007-02-27,1667.96003531,2088.16077358,2163.39952269,1445.24574274,2023.16144875,2085.63755647,2022.51674846,1451.57327535,1936.03419737,2042.96233247,2062.67406018
2007-03-02,1667.96003531,2088.16077358,2163.39952269,1445.24574274,2023.16144875,2085.63755647,2022.51674846,1458.16353431,1936.03419737,2042.96233247,2062.67406018
2007-03-03,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2023.16144875,2085.63755647,2038.41448884,1458.16353431,1936.03419737,2042.96233247,2062.67406018
2007-03-10,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2023.16144875,2085.63755647,2038.41448884,1458.16353431,1936.03419737,2042.96233247,2070.07650261
2007-03-17,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2055.10220833,2085.63755647,2038.41448884,1458.16353431,1936.03419737,2042.96233247,2070.07650261
2007-03-30,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2055.10220833,2085.63755647,2038.41448884,1474.78686553,1936.03419737,2042.96233247,2070.07650261
2007-04-14,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2055.10220833,2095.25184565,2038.41448884,1474.78686553,1936.03419737,2042.96233247,2070.07650261
2007-04-27,1697.75785043,2088.16077358,2163.39952269,1445.24574274,2055.10220833,2095.25184565,2038.41448884,1474.78686553,1958.84769185,2042.96233247,2070.07650261
2007-05-05,1697.75785043,2088.16077358,2185.67440215,1445.24574274,2055.10220833,2095.25184565,2038.41448884,1474.78686553,1958.84769185,2042.96233247,2070.07650261
2007-05-19,1697.75785043,2088.16077358,2185.67440215,1445.24574274,2055.10220833,2095.25184565,2038.41448884,1482.66061612,1958.84769185,2042.96233247,2070.07650261
2007-05-25,1697.75785043,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2038.41448884,1482.66061612,1958.84769185,2042.96233247,2070.07650261
2007-05-26,1722.00497157,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2038.41448884,1482.66061612,1958.84769185,2042.96233247,2070.07650261
2007-06-01,1722.00497157,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2038.41448884,1516.70815223,1958.84769185,2042.96233247,2070.07650261
2007-06-09,1722.00497157,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1516.70815223,1958.84769185,2042.96233247,2070.07650261
2007-06-30,1774.40027004,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1516.70815223,1958.84769185,2042.96233247,2070.07650261
2007-07-07,1774.40027004,2088.16077358,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1516.70815223,1958.84769185,2042.96233247,2081.31355761
2007-07-21,1774.40027004,2115.07017703,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1516.70815223,1958.84769185,2042.96233247,2081.31355761
2007-08-18,1774.40027004,2115.07017703,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1552.8259757,1958.84769185,2042.96233247,2081.31355761
2007-08-31,1774.40027004,2115.07017703,2185.67440215,1494.71506102,2055.10220833,2095.25184565,2055.28704644,1572.66765362,1958.84769185,2042.96233247,2081.31355761
2007-09-07,1774.40027004,2115.07017703,2185.67440215,1544.88994172,2055.10220833,2095.25184565,2055.28704644,1572.66765362,1958.84769185,2042.96233247,2081.31355761
2007-10-06,1774.40027004,2115.07017703,2185.67440215,1544.88994172,2055.10220833,2119.89404459,2055.28704644,1572.66765362,1958.99327648,2042.96233247,2081.31355761
2007-10-27,1834.26051735,2115.07017703,2185.67440215,1544.88994172,2055.10220833,2119.89404459,2055.28704644,1572.66765362,1958.99327648,2042.96233247,2081.31355761
